 59.84+0.66 19 40 59.400 +24 04 39.00 2000 38.4 pest y y 0 - 19 40 59.400 +24 04 39.00 13.10 - 7.1 1 19388+2357_
 60.56-0.17 19 45 48.800 +24 17 22.00 2000 3.6 pest - n - r 19 45 48.800 +24 17 22.00 4.10 - 8.4 1 19437+2410_
 69.52-0.97 20 10 05.200 +31 30 55.00 2000 15.1 pest - y 1 - 20 10 05.200 +31 30 55.00 109.00 - 8.0 2 20081+3122_
 70.12+1.72 20 00 49.600 +33 28 20.00 2000 -26.5 pest - - - - 20 00 49.600 +33 28 20.00 9.80 - 9.9 2 19589+3320_
 71.51-0.38 20 12 56.800 +33 30 05.00 2000 10.7 pest - - - - 20 12 56.800 +33 30 05.00 5.30 - 8.1 1 20110+3321_
 73.04+1.80 20 08 04.600 +35 58 47.00 2000 -2.5 pest - - - - 20 08 04.600 +35 58 47.00 10.00 - 8.7 2 20062+3550_
 75.76+0.34 20 21 40.100 +37 25 37.00 2000 -2.9 pest - y 1 r 20 21 40.100 +37 25 37.00 39.00 - 8.7 1 20198+3716_
 78.10+3.64 20 14 26.044 +41 13 33.39 2000 -6.1 pest y y 2 - 20 14 26.044 +41 13 33.39 38.00 - 8.8 2 20126+4104_
 78.62+0.98 20 27 26.800 +40 07 50.00 2000 -39.0 pest - - - - 20 27 26.800 +40 07 50.00 3.00 - 10.5 - _
 79.75+0.99 20 30 50.900 +41 02 26.00 2000 -4.0 pest - n - - 20 30 50.900 +41 02 26.00 21.20 - 8.8 2 20308+4104_
 80.85+0.43 20 36 47.800 +41 36 30.00 2000 -4.1 pest - - - - 20 36 47.800 +41 36 30.00 4.30 - 8.7 2 20350+4126_
 81.72+0.57 20 39 00.700 +42 22 50.00 2000 0.0 pest y - - - 20 39 00.700 +42 22 50.00 13.00 - 8.6 - _
 81.76+0.59 20 39 03.500 +42 25 53.00 2000 -1.0 pest y y 2 - 20 39 03.500 +42 25 53.00 39.00 - 8.6 - _
 81.87+0.78 20 38 36.452 +42 37 36.06 2000 6.0 pest y y 1 r 20 38 36.452 +42 37 36.06 1080.00 - 8.3 - _
 85.40-0.00 20 54 13.710 +44 54 07.85 2000 -29.5 pest - y 2 r 20 54 13.710 +44 54 07.85 42.00 - 10.0 - _
 90.90+1.50 21 09 03.700 +50 01 13.00 2000 -70.5 pest - n - - 21 09 03.700 +50 01 13.00 27.00 - 12.8 2 21074+4949_
 94.58-1.79 21 39 53.600 +50 13 38.00 2000 -40.9 pest - - - - 21 39 53.600 +50 13 38.00 7.00 - 10.6 2 21381+5000_
 98.02+1.44 21 42 58.100 +54 55 46.00 2000 -61.6 pest - - - - 21 42 58.100 +54 55 46.00 3.30 - 12.1 1 21413+5442_
 108.18+5.51 22 28 52.000 +64 13 22.00 2000 -10.9 pest - y 2 - 22 28 52.000 +64 13 22.00 109.00 - 9.1 1 22272+6358_
 108.75-0.96 22 58 40.300 +58 46 05.00 2000 -45.7 pest - y 0 r 22 58 40.300 +58 46 05.00 2.80 - 11.1 1 22566+5830_
 109.86+2.10 22 56 18.095 +62 01 49.45 2000 -2.5 pest - y 2 - 22 56 18.095 +62 01 49.45 815.00 - 8.7 2 22543+6145_
 109.92+1.98 22 57 11.200 +61 56 03.00 2000 -2.4 pest - n - - 22 57 11.200 +61 56 03.00 43.00 - 8.7 1 22551+6139_
 111.24-0.76 23 16 05.400 +59 55 22.00 2000 -38.5 pest - y 0 r 23 16 05.400 +59 55 22.00 4.00 - 10.6 1 23139+5939_
 111.53+0.76 23 13 45.364 +61 28 10.55 2000 -56.2 pest - - - - 23 13 45.364 +61 28 10.55 296.00 - 12.0 1 23116+6111_
 121.28+0.65 00 36 42.200 +63 28 30.00 2000 -22.4 pest - y 3 r 00 36 42.200 +63 28 30.00 14.00 - 9.8 2 00338+6312_
 123.05-6.31 00 52 19.900 +56 33 17.00 2000 -29.1 pest - y 0 r 00 52 19.900 +56 33 17.00 24.00 - 10.3 2 00494+5617_
 133.94+1.04 02 27 03.849 +61 52 25.42 2000 -44.6 pest y y 2 - 02 27 03.849 +61 52 25.42 3741.00 - 12.1 1 02232+6138_
 136.84+1.12 02 49 23.100 +60 46 26.00 2000 -45.1 pest - y 0 r 02 49 23.100 +60 46 26.00 21.00 - 12.4 1 02455+6034_
 173.49+2.42 05 39 13.059 +35 45 51.29 2000 -13.6 pest y y 2 r 05 39 13.059 +35 45 51.29 256.00 - 19.5 1 05358+3543_
 173.69+2.87 05 41 33.800 +35 48 27.00 2000 -24.1 pest - y 0 r 05 41 33.800 +35 48 27.00 7.50 - 30.0 1 05382+3547_
 173.71+2.35 05 39 27.600 +35 30 58.00 2000 -14.0 pest - n - - 05 39 27.600 +35 30 58.00 5.00 - 21.2 - _
 174.19-0.09 05 30 42.000 +33 47 14.00 2000 2.1 pest y y 2 r 05 30 42.000 +33 47 14.00 94.00 - 7.8 2 05274+3345_
 183.34+0.59 05 51 06.000 +25 45 45.00 2000 -4.8 pest y y 2 - 05 51 06.000 +25 45 45.00 18.00 - 6.2 1 05480+2544_
 188.79+1.02 06 09 06.500 +21 50 26.00 2000 -5.5 pest - y 0 r 06 09 06.500 +21 50 26.00 4.80 - 7.3 1 06061+2151_
